SlNo,Qno.,Species Name,Number Ind
871,28,Sida rhombifolia,12
872,28,Staorogyne zeylanica,25
873,28,Cyclea peltata,1
874,28,Selaginella sps,25
875,28,Selaginella sps,57
876,28,Leucas aspera,1
877,28,Ichnocarpus frutescens,2
878,28,Phalaenopsis imbricata,2
879,28,Biophytum sensitivum,3
880,28,Mimosa pudica,3
881,28,Centella asiatica,1
882,28,Axonopus copmpressus,16
883,28,Oplismenus compositus,6
884,28,Fimbristylis sps,1
885,28,Hedyotis corymbosa,1
886,28,Desmodium trifolium,2
887,29,Cyathula prostrata,20
888,29,Fern?,3
889,29,Sida rhombifolia,2
890,29,Blumea mollis,9
891,29,Eupatorium odoratum,9
892,29,Phalaenopsis imbricata,5
893,29,Axonopus copmpressus,10
894,29,Laportea interrupta,2
895,29,Eupatorium odoratum,4
896,29,Mimosa pudica,2
897,29,Phalaenopsis imbricata,13
898,29,Pothos scandens,1
899,29,Commelina sps,2
900,29,Sida rhombifolia,2
901,29,Peperomia pellucida,1
902,29,Laportea interrupta,1
903,29,Spermacoce articularis,1
904,29,Staorogyne zeylanica,1
905,29,Hemidesmus indicus,1
906,29,Blumea mollis,2
907,29,Citrullus decumana,1
908,29,Psidium guajava,1
909,29,Spermacoce articularis,3
910,29,Laportea interrupta,2
911,29,Pothos scandens,1
912,29,Cyathula prostrata,8
913,29,Cyathula prostrata,16
914,29,Fern?,1
915,29,Laportea interrupta,1
916,29,Phalaenopsis imbricata,2
917,29,Blumea mollis,1
918,29,Fern2?,1
919,29,Riccia sps,2
920,29,Fern3?,1
921,29,Spermacoce articularis,2
955,30,Axonopus copmpressus,12
