SlNo,Qno.,Species Name,Number Ind
228,10,Axonopus copmpressus,1
229,10,Ichnocarpus frutescens,3
230,10,Clerodendrum viscosum,2
231,10,Aporusa lindleyana,1
232,10,Mallotus philippensis,1
233,10,Eupatorium odoratum,8
234,10,Acacia intsia,5
235,10,Phaseolus trilobus,3
236,10,Canthium rheedei,1
237,10,Glycosmis pentaphylla,1
238,10,Gymnema sylvestre,1
239,10,Piper longum,10
240,10,Tabernaemontana heyneana,2
241,10,Ichnocarpus frutescens,2
242,10,Phalaenopsis imbricata,11
243,10,Axonopus copmpressus,1
244,10,Unona pannosa,1
245,10,Clerodendrum viscosum,3
246,10,Chasalia curviflora,1
247,10,Combretum accuminatum,1
248,10,Antidesma acidium,1
249,10,Dichapetalum gelonioides,2
250,10,Jasminum reottelarianum,2
251,10,Piper longum,10
252,10,Strychnos cinnamomifolia,1
253,10,Acacia intsia,1
254,10,Mikania scandens,1
255,10,Tabernaemontana heyneana,1
256,10,Chasalia curviflora,2
257,10,Acacia intsia,4
258,10,Combretum accuminatum,2
259,10,Ichnocarpus frutescens,4
260,10,Smilax zeylanica,1
261,10,Hibiscus furcatus,1
262,10,Phalaenopsis imbricata,3
263,10,Zizyphus oenoplia,5
264,11,Canthium dicoccum,1
265,11,Mallotus philippensis,1
266,11,Axonopus copmpressus,28
267,11,Cyclea peltata,1
268,11,Clerodendrum viscosum,3
269,11,Acacia intsia,1
270,11,Spermacoce articularis,2
271,11,Phalaenopsis imbricata,3
272,11,Phaseolus trilobus,1
273,11,Eupatorium odoratum,10
274,11,Clerodendrum viscosum,25
275,11,Tabernaemontana heyneana,1
276,11,Axonopus copmpressus,24
277,11,Phalaenopsis imbricata,10
278,11,Piper longum,2
279,11,Polygala arvensis,1
280,11,Hedyotis biflora,1
281,11,Spermacoce articularis,5
282,11,Hibiscus furcatus,1
283,11,Evodia lanu-ankenda,2
284,11,Cyclea peltata,2
285,11,Dichapetalum gelonioides,1
286,11,Zizyphus oenoplia,2
287,11,Smilax zeylanica,1
288,11,Unona pannosa,1
289,11,Dimocarpus longan,1
290,11,Cyclea peltata,1
291,11,Spermacoce articularis,4
292,11,Tragia involucrata,1
293,11,Aporusa lindleyana,1
294,11,Axonopus copmpressus,19
295,11,Polygala arvensis,1
296,11,Unona pannosa,1
297,11,Mallotus philippensis,1
298,11,Dracaena terniflora,1
299,11,Pothos scandens,1
300,11,Dichapetalum gelonioides,1
301,11,Phalaenopsis imbricata,5
302,11,Andrographis atropurpurea,2
303,11,??,1
304,11,Ixora sps,1
305,11,Piper longum,5
306,11,Miquelia dentata,1
307,11,Chionanthus mala-elengi,1
308,11,Clerodendrum viscosum,8
309,11,Strychnos cinnamomifolia,1
310,11,Strychnos nux-vomica,1
311,11,Eupatorium odoratum,6
312,11,Mallotus philippensis,1
313,11,Phalaenopsis imbricata,16
314,11,Zizyphus oenoplia,1
315,11,Polygala arvensis,10
316,11,Cyclea peltata,1
317,11,Hedyotis hirta,1
318,11,Evodia lanu-ankenda,1
319,11,Axonopus copmpressus,29
320,12,Aporusa lindleyana,3
321,12,Ficus sps,1
322,12,Fern?,3
323,12,Oplismenus compositus,1
324,12,Stenochlaena palustris,2
325,12,Dichapetalum gelonioides,4
326,12,Axonopus copmpressus,2
327,12,Phalaenopsis imbricata,1
328,12,??,1
329,12,Centella asiatica,14
330,12,Phalaenopsis imbricata,19
331,12,Ichnocarpus frutescens,3
332,12,Phaseolus trilobus,1
333,12,Zizyphus oenoplia,1
334,12,Eupatorium odoratum,6
335,12,Pothos scandens,1
336,12,Axonopus copmpressus,24
337,12,Dichapetalum gelonioides,12
338,12,Phalaenopsis imbricata,3
339,12,Combretum accuminatum,9
340,12,Synedrella nodiflora,9
341,12,Ficus sps,1
342,12,Eupatorium odoratum,1
343,12,Peperomia pellucida,1
344,12,Chloris barbata,1
345,12,Axonopus copmpressus,10
346,12,Mikania scandens,1
347,12,Lindernia crustacea,5
348,12,Stenochlaena palustris,1
349,12,Aporusa lindleyana,1
350,12,Combretum accuminatum,19
351,12,Stenochlaena palustris,1
352,12,Miquelia dentata,1
353,13,Piper longum,4
354,13,Axonopus copmpressus,1
355,13,Cyathula prostrata,4
356,13,Eupatorium odoratum,2
357,13,Glycosmis pentaphylla,1
358,13,Smilax zeylanica,2
359,13,Clerodendrum viscosum,1
360,13,Actinoda phnebourdilloni,1
361,13,Zizyphus oenoplia,1
362,13,Mikania scandens,1
363,13,Clerodendrum viscosum,1
364,13,Piper longum,5
365,13,Chasalia curviflora,1
366,13,Mikania scandens,4
367,13,Cryptolepis buchanani,1
368,13,Phaseolus trilobus,1
369,13,Xylia xylocarpa,4
370,13,Zizyphus oenoplia,1
371,13,Tabernaemontana heyneana,1
372,13,Ichnocarpus frutescens,1
373,13,Fern?,1
374,13,Mikania scandens,1
375,13,Eupatorium odoratum,2
376,13,Jasminum reottelarianum,1
377,13,Hedyotis hirta,1
378,13,Olea dioica,1
379,13,Dichapetalum gelonioides,1
380,13,Axonopus copmpressus,1
381,13,Macaranga peltata,1
382,13,Piper longum,7
383,13,Ichnocarpus frutescens,4
384,13,Phalaenopsis imbricata,13
385,13,Eupatorium odoratum,1
386,13,Axonopus copmpressus,2
387,14,Andrographis atropurpurea,23
388,14,Mallotus philippensis,1
389,14,Xylia xylocarpa,2
390,14,Aporusa lindleyana,2
391,14,Asparagus racemosa,1
392,14,Cyclea peltata,1
393,14,Piper longum,15
394,14,Andrographis atropurpurea,22
395,14,Zizyphus rugosa,1
396,14,Mallotus philippensis,1
397,14,Clerodendrum viscosum,1
398,14,Memecylon edule,1
399,14,Piper longum,17
400,14,Ichnocarpus frutescens,2
401,14,Phalaenopsis imbricata,2
402,14,Fern?,1
403,14,Dichapetalum gelonioides,1
404,14,Tabernaemontana heyneana,1
405,14,Piper longum,7
406,14,Andrographis atropurpurea,12
407,14,Phalaenopsis imbricata,5
408,14,Mikania scandens,3
409,14,Mallotus philippensis,1
410,14,Chasalia curviflora,1
411,14,Caesalpinia bonducella,1
412,14,Axonopus copmpressus,1
413,14,Ichnocarpus frutescens,1
414,14,Piper longum,16
415,14,Andrographis atropurpurea,13
416,14,Tabernaemontana heyneana,1
417,14,Chasalia curviflora,1
418,14,Cryptolepis buchanani,2
419,14,Xylia xylocarpa,1
420,14,Mikania scandens,1
421,15,Sageraea dalzelii,3
422,15,Canthium rheedei,2
423,15,Piper longum,14
424,15,Phalaenopsis imbricata,4
425,15,Xylia xylocarpa,1
426,15,Piper longum,18
427,15,Xylia xylocarpa,2
428,15,Canthium rheedei,1
429,15,Andrographis atropurpurea,2
430,15,Phalaenopsis imbricata,2
431,15,Chionanthus mala-elengi,1
432,15,Clerodendrum viscosum,2
433,15,Clerodendrum viscosum,4
434,15,Olea dioica,2
435,15,Strychnos nux-vomica,2
436,15,Andrographis atropurpurea,5
437,15,Jasminum reottelarianum,1
438,15,Piper longum,11
439,15,Mallotus philippensis,2
440,15,Eupatorium odoratum,1
441,15,Mallotus philippensis,5
442,15,Olea dioica,4
443,15,Xylia xylocarpa,4
444,15,Naragami aalata,7
445,15,Phalaenopsis imbricata,5
446,15,Piper longum,3
447,15,Dimocarpus longan,3
448,15,Piper longum,17
449,15,Fern?,1
450,16,Clerodendrum viscosum,1
451,16,Xylia xylocarpa,2
452,16,Eupatorium odoratum,3
453,16,Naragami aalata,8
454,16,Biophytum sensitivum,1
455,16,Phalaenopsis imbricata,2
456,16,Justicia simplex,1
457,16,Clerodendrum viscosum,3
458,16,Holarrhena antidysenterica,1
459,16,Xylia xylocarpa,2
460,16,Justicia simplex,3
461,16,Piper longum,5
462,16,Mallotus philippensis,1
463,16,Ichnocarpus frutescens,1
464,16,Axonopus copmpressus,8
465,16,Clerodendrum viscosum,3
466,16,Ichnocarpus frutescens,2
467,16,Acacia intsia,1
468,16,Naragami aalata,1
469,16,Xylia xylocarpa,1
470,16,Cyperus sps,1
471,16,Spermacoce articularis,1
472,16,Justicia simplex,1
473,16,Axonopus copmpressus,6
474,16,Naragami aalata,4
475,16,Justicia simplex,5
476,16,Clerodendrum viscosum,2
477,16,Ichnocarpus frutescens,2
478,16,Piper longum,2
479,16,Axonopus copmpressus,2
480,17,Hemidesmus indicus,10
481,17,Stachytarpheta indica,2
482,17,Hyptis suaveolens,1
483,17,Phalaenopsis imbricata,2
484,17,Sida rhombifolia,1
485,17,Naragami aalata,1
486,17,Sida rhombifolia,1
487,17,Hyptis suaveolens,8
488,17,Naragami aalata,1
489,17,Hemidesmus indicus,4
490,17,Zizyphus oenoplia,1
491,17,Eupatorium odoratum,1
492,17,Stachytarpheta indica,1
493,17,Sida rhombifolia,2
494,17,Diploclisia glaucescens,1
